chapter_file,chapter_index,title,line_number,raw_text,normalized_text,context_before,context_after,keyword_score,tfidf_similarity,fuzzy_similarity,final_score,matched_seed,category,decision
converted/Super Gene/chapters/1398-chapter-1397-an-unexpected-journey.md,1398,Chapter 1397 - An Unexpected Journey,24,Mutant Creature Cauldron Beast killed. Beast soul gained. Gold Geno Core acquired. Consume its flesh to gain zero to ten mutant geno points randomly.,mutant creature cauldron beast killed. beast soul gained. gold geno core acquired. consume its flesh to gain zero to ten mutant geno points randomly.,,,0.85,0.4811,0.9498,0.648,Mutant Creature Gold-Talon Wolf Killed. Beast Soul Gained. Consume Its Flesh To Gain Zero To Ten Mutant Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/1363-chapter-1362-injured-pony.md,1363,Chapter 1362 - Injured Pony,26,Mutant Creature Gold Dragon killed. No beast soul gained. Gold Geno Core received: Gold Dragon Lock. Consume its flesh to gain zero to ten mutant geno points randomly.,mutant creature gold dragon killed. no beast soul gained. gold geno core received: gold dragon lock. consume its flesh to gain zero to ten mutant geno points randomly.,,,0.85,0.482,0.9427,0.6477,Mutant Creature Gold Thunder-Hawk Killed. No Beast Soul Gained. Consume Its Flesh To Gain Zero To Ten Mutant Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/1489-chapter-1488-the-power-of-the-butterfly-geno-core.md,1489,Chapter 1488 - The Power of the Butterfly Geno Core,62,"Super Creature Alien Beast killed. Beast soul gained. Geno Core unobtained. The flesh of this creature is inedible, but you may harvest its Super Geno Essence.","super creature alien beast killed. beast soul gained. geno core unobtained. the flesh of this creature is inedible, but you may harvest its super geno essence.",,,0.9500000000000001,0.4373,0.9053,0.6473,"Super Creature Abyssal Beast killed. Beast Soul Gained. The Flesh of This Creature Is Inedible, but You May Harvest Its Life Geno Essence. Consume Its Life Geno Essence to Gain Zero to Ten Super Geno Points Randomly.",beast_soul_result,review
converted/Super Gene/chapters/1542-chapter-1541-strong-killing.md,1542,Chapter 1541 - Strong Killing,20,Young Super Creature Black Back Dog killed. No beast soul gained. Geno Core unobtained. The flesh is edible. Collect the Super Geno Essence to gain zero-to-ten super geno points.,young super creature black back dog killed. no beast soul gained. geno core unobtained. the flesh is edible. collect the super geno essence to gain zero to ten super geno points.,,,1.0,0.4161,0.8119,0.6388,Super Creature Mountain River Beast Killed. No Beast Soul Gained. Geno Core Destroyed. the Flesh Is Edible. Claim the Life Geno Essence to Gain Zero to Ten Super Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/1557-chapter-1556-god-slayer-shelter.md,1557,Chapter 1556 - God-slayer Shelter,48,Sacred-blood creature Chou Shell Beast killed. Beast soul gained. Geno core unobtained. Eat the flesh to gain zero to ten sacred geno points randomly.,sacred blood creature chou shell beast killed. beast soul gained. geno core unobtained. eat the flesh to gain zero to ten sacred geno points randomly.,,,1.0,0.4008,0.8732,0.6373,Sacred-Blood Creature Lightning Wolf killed. Beast soul gained. Consume its Flesh to Gain Zero to Ten Sacred Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/3067-chapter-3066-evil-blood.md,3067,Chapter 3066 - Evil Blood,24,Successfully combined with the blood ghost spirit. Got gene to combine skill Evil Blood.,successfully combined with the blood ghost spirit. got gene to combine skill evil blood.,,,0.1,0.8366,0.9586,0.6302,Successfully combined with the blood ghost spirit. Got gene to combine skill Evil Blood Break World gene plus one.,unknown_voice,review
converted/Super Gene/chapters/023-chapter-23-obsidian-dragon.md,23,Chapter 23 : Obsidian Dragon,46,Young obsidian dragon eaten. One sacred geno point gained—,young obsidian dragon eaten. one sacred geno point gained,,,0.65,0.5642,0.8718,0.6269,Young  Eaten. One Sacred Geno Point Gained...,geno_point_gain,review
converted/Super Gene/chapters/820-chapter-819-a-group-of-shura.md,820,Chapter 819 : A Group of Shura,24,Steel-Knight King Super Geno Essence has been absorbed. You have received one super geno point.,steel knight king super geno essence has been absorbed. you have received one super geno point.,,,0.2,0.7669,1.0,0.6248,Steel-Knight King Life Geno Essence Has Been Absorbed. You Have Received One Super Geno Point.,geno_point_gain,review
converted/Super Gene/chapters/521-chapter-520-killing-the-golden-crab.md,521,Chapter 520 : Killing The Golden Crab,84,Sacred-blood creature golden pincer king killed. Beast soul of golden pincer king gained. Eat its meat to gain 0 to 10 sacred geno points randomly.,sacred blood creature golden pincer king killed. beast soul of golden pincer king gained. eat its meat to gain 0 to 10 sacred geno points randomly.,,,0.85,0.4515,0.8788,0.6223,Sacred-Blood Creature Black-Feathered Beast King Killed. Beast Soul Of Black-Feathered Beast King Gained. Eat Its Meat To Gain 0 To 10 Sacred Geno Points.,beast_soul_result,review
converted/Super Gene/chapters/029-chapter-29-storm-bird.md,29,Chapter 29 : storm-bird,58,“Sacred-blood creature storm-bird’s egg eaten. No sacred geno point gained.,"""sacred blood creature storm bird's egg eaten. no sacred geno point gained.",,,0.65,0.5492,0.9,0.6215,Sacred-blood Creature Stormbird’s Egg Eaten. No Sacred Geno Point Gained.,geno_point_gain,review
