chapter_file,chapter_index,title,line_number,raw_text,normalized_text,context_before,context_after,keyword_score,tfidf_similarity,fuzzy_similarity,final_score,matched_seed,category,decision
converted/Super Gene/chapters/293-chapter-293-panorama.md,293,Chapter 293 : Panorama,18,Super creature cloud beast killed. No beast soul gained. Eat its life essence to gain 0 to 10 super geno points. Meat inedible.,super creature cloud beast killed. no beast soul gained. eat its life essence to gain 0 to 10 super geno points. meat inedible.,,,1.0,1.0,1.0,1.0,Super Creature Cloud Beast Killed. No Beast Soul Gained. Eat Its Life Essence To Gain 0 To 10 Super Geno Points. Meat Inedible.,life_essence,likely
converted/Super Gene/chapters/339-chapter-339-aqua-reaper-beast-soul.md,339,Chapter 339 : Aqua Reaper Beast soul,40,Larva of super creature aqua reaper killed. Beast soul of super creature aqua reaper gained. Life essence available. Consume its life essence to gain 0 to 10 super geno points randomly. Meat inedible.,larva of super creature aqua reaper killed. beast soul of super creature aqua reaper gained. life essence available. consume its life essence to gain 0 to 10 super geno points randomly. meat inedible.,,,1.0,1.0,1.0,1.0,Larva of Super Creature Aqua Reaper Killed. Beast Soul of Super Creature Aqua Reaper Gained. Life Essence Available. Consume Its Life Essence to Gain 0 to 10 Super Geno Points Randomly. Meat Inedible.,life_essence,likely
converted/Super Gene/chapters/1729-chapter-1728-i-want-this-person.md,1729,Chapter 1728 - I Want This Person,44,Xenogeneic Baron hunted; xenogeneic gene found. Xenogeneic beast soul obtained.,xenogeneic baron hunted; xenogeneic gene found. xenogeneic beast soul obtained.,,,0.9500000000000001,1.0,1.0,0.985,Xenogeneic Baron Hunted; Xenogeneic Gene Found. Xenogeneic Beast Soul Obtained.,xenogeneic_gene,likely
converted/Super Gene/chapters/2159-chapter-2158-getting-beast-souls.md,2159,Chapter 2158 - Getting Beast Souls,54,Mutant Xenogeneic King hunted: Gold Demon Bug King. Xenogeneic gene found. Obtained Mutant Gold Demon Bug beast soul.,mutant xenogeneic king hunted: gold demon bug king. xenogeneic gene found. obtained mutant gold demon bug beast soul.,,,0.9500000000000001,1.0,1.0,0.985,Mutant Xenogeneic King hunted: Gold Demon Bug King. Xenogeneic gene found. Obtained Mutant Gold Demon Bug beast soul.,xenogeneic_gene,likely
converted/Super Gene/chapters/2159-chapter-2158-getting-beast-souls.md,2159,Chapter 2158 - Getting Beast Souls,68,Mutant Xenogeneic King hunted: Green Demon Bug King. Xenogeneic gene found. Obtained Mutant Green Demon Bug beast soul.,mutant xenogeneic king hunted: green demon bug king. xenogeneic gene found. obtained mutant green demon bug beast soul.,,,0.9500000000000001,1.0,1.0,0.985,Mutant Xenogeneic King hunted: Green Demon Bug King. Xenogeneic gene found. Obtained Mutant Green Demon Bug beast soul.,xenogeneic_gene,likely
converted/Super Gene/chapters/2362-chapter-2361-little-red-bird-shows-off.md,2362,Chapter 2361 - Little Red Bird Shows Off,90,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic king hunted: move mountain sea conch. xenogeneic gene found. obtained beast soul.,,,0.9500000000000001,1.0,1.0,0.985,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,likely
converted/Super Gene/chapters/2441-chapter-2440-effec.md,2441,Chapter 2440 - Effec,84,Mutant Deified Xenogeneic hunted: Blood Eye Evil God. Mutant xenogeneic gene found. Obtained Blood Eye Evil God beast soul.,mutant deified xenogeneic hunted: blood eye evil god. mutant xenogeneic gene found. obtained blood eye evil god beast soul.,,,0.9500000000000001,1.0,1.0,0.985,Mutant Deified Xenogeneic Hunted: Blood Eye Evil God. Mutant Xenogeneic Gene Found. Obtained Blood Eye Evil God Beast Soul.,xenogeneic_gene,likely
converted/Super Gene/chapters/2495-chapter-2494-let-go-of-that-peacock.md,2495,Chapter 2494 - Let Go of that Peacock,64,Xenogeneic deified hunted: Tianxia Peacock King. Xenogeneic gene found. Obtained Tianxia Peacock King beast soul.,xenogeneic deified hunted: tianxia peacock king. xenogeneic gene found. obtained tianxia peacock king beast soul.,,,0.9500000000000001,1.0,1.0,0.985,Xenogeneic deified hunted: Tianxia Peacock King. Xenogeneic gene found. Obtained Tianxia Peacock King beast soul.,xenogeneic_gene,likely
converted/Super Gene/chapters/2580-chapter-2579-claiming-another-deified-beast-soul.md,2580,Chapter 2579 - Claiming Another Deified Beast Soul,54,Core deified xenogeneic hunted: Six Core God Snake. Deified xenogeneic gene found. Obtained Six Core God Snake beast soul.,core deified xenogeneic hunted: six core god snake. deified xenogeneic gene found. obtained six core god snake beast soul.,,,0.9500000000000001,1.0,1.0,0.985,Core deified xenogeneic hunted: Six Core God Snake. Deified xenogeneic gene found. Obtained Six Core God Snake beast soul.,xenogeneic_gene,likely
converted/Super Gene/chapters/271-chapter-271-super-gene.md,271,Chapter 271 : Super Gene,58,Life essence of super creature golden growler consumed. One super Geno point gained.,life essence of super creature golden growler consumed. one super geno point gained.,,,0.9500000000000001,1.0,1.0,0.985,Life essence of super creature golden growler consumed. One super Geno point gained.,life_essence,likely
